START | Pos: [-3.11759, 0.19118, -1.75868] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.3341, 0.1912, -1.6337], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.3341, 0.1912, -1.6337], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5841, 0.1912, -1.6337], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8341, 0.1912, -1.6337], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.0841, 0.1912, -1.6337], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.0841, 0.1912, -1.6337], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.3006, 0.1912, -1.7587], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.5171, 0.1912, -1.8837], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.7336, 0.1912, -2.0087], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-4.7336, 0.1912, -2.0087], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-4.7336, 0.1912, -2.0087], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-4.7336, 0.1912, -2.0087], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.7336, 0.1912, -2.0087], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-4.5171, 0.1912, -2.1337], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-4.3006, 0.1912, -2.2587], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-4.0841, 0.1912, -2.3837], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.8676, 0.1912, -2.5087], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.6511, 0.1912, -2.6337], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.4346, 0.1912, -2.7587], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.2181, 0.1912, -2.8837], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.0016, 0.1912, -3.0087], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-2.7851, 0.1912, -3.1337], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-2.5686, 0.1912, -3.2587], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-2.3520, 0.1912, -3.3837], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-2.1355, 0.1912, -3.5087], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-2.1355, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.8855, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.6355, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.3855, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.1355, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.8855, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.6355, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.3855, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.1355, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.1145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.3645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.6145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.8645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.1145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.3645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.6145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.8645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.1145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.3645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.6145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.8645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.1145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.3645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.6145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.8645, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.1145, 0.1912, -3.5087], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
