START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-4.0899, 0.2132, -3.1218], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-3.9649, 0.2132, -2.9053], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.9649, 0.2132, -2.9053], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-3.9649, 0.2132, -2.9053], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.0899, 0.2132, -2.6888], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-4.0899, 0.2132, -2.6888], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.3064, 0.2132, -2.5638], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-4.0899, 0.2132, -2.6888], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.8734, 0.2132, -2.8138], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.6568, 0.2132, -2.6888], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.4403, 0.2132, -2.5638], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-3.4403, 0.2132, -2.5638], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.4403, 0.2132, -2.5638], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-3.4403, 0.2132, -2.3138], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-3.4403, 0.2132, -2.3138], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-3.4403, 0.2132, -2.3138], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.2238, 0.2132, -2.1888], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-3.0073, 0.2132, -2.0638], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-3.0073, 0.2132, -2.0638], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-2.8823, 0.2132, -1.8473], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-2.7573, 0.2132, -1.6308], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-2.6323, 0.2132, -1.4143], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-2.5073, 0.2132, -1.1978], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-2.5073, 0.2132, -1.1978], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-2.5073, 0.2132, -1.1978], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.6323, 0.2132, -0.9813], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.7573, 0.2132, -0.7648], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-2.8823, 0.2132, -0.5483], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-3.0073, 0.2132, -0.3317], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-3.1323, 0.2132, -0.1152], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-3.2573, 0.2132, 0.1013], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [-3.2573, 0.2132, 0.1013], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
