START | Pos: [-0.23005, 0.07, 7.71749] | Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-0.1051, 0.0700, 7.9340], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3550, 0.0700, 7.5010], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4800, 0.0700, 7.2845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6050, 0.0700, 7.0680], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7300, 0.0700, 6.8515], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.8550, 0.0700, 6.6350], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.9800, 0.0700, 6.4185], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1050, 0.0700, 6.2019], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.2300, 0.0700, 5.9854], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.3550, 0.0700, 5.7689], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.4800, 0.0700, 5.5524], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.6050, 0.0700, 5.3359], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.7300, 0.0700, 5.1194], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.8550, 0.0700, 4.9029], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-1.8550, 0.0700, 4.9029], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-1.8550, 0.0700, 4.9029], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-1.8550, 0.0700, 4.9029], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-1.8550, 0.0700, 4.9029], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
