START | Pos: [-5.70059, 0.09346, 1.68376] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-5.7006, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.9506, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.2006, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.4506, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.7006, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.9506, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.2006, 0.0935, 1.6838], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-7.2006, 0.0935, 1.6838], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-7.4171, 0.0935, 1.8088], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-7.6336, 0.0935, 1.9338], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-7.8501, 0.0935, 2.0588], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.7251, 0.0935, 1.8423], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.6001, 0.0935, 1.6257], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.4751, 0.0935, 1.4092], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.3501, 0.0935, 1.1927], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.2251, 0.0935, 0.9762], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-7.1001, 0.0935, 0.7597], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.9751, 0.0935, 0.5432], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.8501, 0.0935, 0.3267], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.7251, 0.0935, 0.1102], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.6001, 0.0935, -0.1063], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.4751, 0.0935, -0.3228], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.3501, 0.0935, -0.5393], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.2251, 0.0935, -0.7558], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-6.1001, 0.0935, -0.9723], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-5.9751, 0.0935, -1.1888], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-5.8501, 0.0935, -1.4053], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.8501, 0.0935, -1.4053], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.8501, 0.0935, -1.4053], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-5.8501, 0.0935, -1.4053], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.6336, 0.0935, -1.2803], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-5.6336, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.3836, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-5.1336, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.8836, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.6336, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.3836, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.1336, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-3.8836, 0.0935, -1.2803], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-4.1001, 0.0935, -1.4053], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [-4.1001, 0.0935, -1.4053], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
