START | Pos: [-5.70059, 0.09346, 1.68376] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 1.4338], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 1.1838], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.9338], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.6838], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.4338], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, 0.1838], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -0.0662], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -0.3162], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -0.5662], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -0.8162], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -1.0662], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.7006, 0.0935, -1.3162], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-5.7006, 0.0935, -1.3162], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-5.5756, 0.0935, -1.5327], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.5756, 0.0935, -1.5327], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-5.5756, 0.0935, -1.7827], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [-5.5756, 0.0935, -1.7827], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
