START | Pos: [-14.52051, 0.12186, -7.90472] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.7370, 0.1219, -7.7797], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-14.9535, 0.1219, -7.6547], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.1700, 0.1219, -7.5297], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-15.3865, 0.1219, -7.4047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-15.3865, 0.1219, -7.4047], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.5115, 0.1219, -7.1882], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.6365, 0.1219, -6.9717], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.7615, 0.1219, -6.7552], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-15.8865, 0.1219, -6.5387], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.0115, 0.1219, -6.3222], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.1365, 0.1219, -6.1057], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.2615, 0.1219, -5.8892], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.3865, 0.1219, -5.6727], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.5115, 0.1219, -5.4562], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.6365, 0.1219, -5.2397], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
stop, Pos: [-16.7615, 0.1219, -5.0231], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
