START | Pos: [7.98935, 0.19575, -12.55098] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [8.2059, 0.1957, -12.4260], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.2059, 0.1957, -12.4260], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [8.2059, 0.1957, -12.4260], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [8.2059, 0.1957, -12.4260], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [8.0809, 0.1957, -12.2095], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [8.0809, 0.1957, -11.9595], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [8.2059, 0.1957, -12.1760], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [8.3309, 0.1957, -12.3925], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [8.4559, 0.1957, -12.6090], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [8.5809, 0.1957, -12.8255], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [8.7059, 0.1957, -13.0420], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
