START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-4.5536, 0.0935, -1.8200], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-4.5536, 0.0935, -1.8200], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -1.5700], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -1.3200], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -1.0700], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -0.8200], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -0.5700], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -0.3200], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, -0.0700], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, 0.1800], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, 0.4300], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, 0.6800], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-4.5536, 0.0935, 0.9300], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-4.5536, 0.0935, 0.9300], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.6786, 0.0935, 1.1465], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.8036, 0.0935, 1.3630], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.9286, 0.0935, 1.5795], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.0536, 0.0935, 1.7960], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.1786, 0.0935, 2.0125], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3036, 0.0935, 2.2290], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.4286, 0.0935, 2.4455], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.5536, 0.0935, 2.6620], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.6786, 0.0935, 2.8785], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.8036, 0.0935, 3.0950], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.9286, 0.0935, 3.3115], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.0536, 0.0935, 3.5280], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.1786, 0.0935, 3.7446], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.3036, 0.0935, 3.9611], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.4286, 0.0935, 4.1776], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.5536, 0.0935, 4.3941], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.6786, 0.0935, 4.6106], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.8036, 0.0935, 4.8271], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-6.9286, 0.0935, 5.0436], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [-6.9286, 0.0935, 5.0436], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
